order_id,user_id,product_id,product_name,ds,brand,english_name,chinese_name,full_text,ai_review,has_sensitive_content,sensitive_words
0000035e18aa487b950f8f2994ed5144,7e039977-efaf-46cb-91d6-47e727531403,10152080198182,lululemon丨Ribbed Nulu™ 女士瑜伽罗纹圆领运动内衣 LW2ECLS 蓝柳 XS /4,2025-11-03 12:55:39,lululemon,Ribbed Nulu™,女士瑜伽罗纹圆领运动内衣 LW2ECLS 蓝柳 XS /4,lululemon丨Ribbed Nulu™ 女士瑜伽罗纹圆领运动内衣 LW2ECLS 蓝柳 XS /4,这款lululemon Ribbed Nulu™运动内衣非常舒适，贴合度好，透气性也不错，做瑜伽时完全不会束缚动作，推荐给喜欢运动的女生！,0,
000098e0a7644440913b83e83a209480,3b0f11d1-e208-4a5e-96db-37d99aadcf08,10152073348257,lululemon丨AIM 男士四角裤 *3条装 透气速干芯吸 LM9ANTS 杂色犀牛灰杂色水滴银 线上专售 XL,2025-11-07 08:54:48,lululemon,AIM,男士四角裤 *3条装 透气速干芯吸 LM9ANTS 杂色犀牛灰杂色水滴银 线上专售 XL,lululemon丨AIM 男士四角裤 *3条装 透气速干芯吸 LM9ANTS 杂色犀牛灰杂色水滴银 线上专售 XL,这款lululemon AIM男士四角裤透气性不错，适合运动时穿着，但版型略显宽松，可能不太适合追求修身效果的人。,0,
00010f212d094d2cac3ab92749fb02b8,1c613387-c15e-4935-a84e-733c59c6468a,10111392242322,lululemon丨Cross Chill 女士运动夹克 防风 LW4CEGS 骨白 XS,2025-11-12 15:07:40,lululemon,Cross Chill,女士运动夹克 防风 LW4CEGS 骨白 XS,lululemon丨Cross Chill 女士运动夹克 防风 LW4CEGS 骨白 XS,这件lululemon Cross Chill夹克骨白XS版，穿上后明显缩水，版型不合身，面料还容易起球，完全不符合预期，不推荐购买。,0,
00016231f65c41fa8fd61f2ec533a2fa,a3f05db2-52c1-4c2f-89df-a550ed176571,10147658844312,lululemon丨Speed Up 女士运动高腰内衬款短裤 2.5,2025-11-03 14:34:37,lululemon,Speed Up,女士运动高腰内衬款短裤 2.5,lululemon丨Speed Up 女士运动高腰内衬款短裤 2.5,这款lululemon Speed Up短裤非常舒适，高腰设计贴合身形，内衬柔软透气，运动时完全不勒肚子，推荐给喜欢健身的女生！,0,
0002a8746594413c9eec219a2baa3fd1,2a9bd0a2-49bb-4886-9f4d-10c2838b3113,10161969298055,lululemon丨ABC 男士修身剪裁长裤 32L *WovenAir LM5AY0S 生亚麻色 31,2025-10-31 20:37:05,lululemon,ABC,男士修身剪裁长裤 32L *WovenAir LM5AY0S 生亚麻色 31,lululemon丨ABC 男士修身剪裁长裤 32L *WovenAir LM5AY0S 生亚麻色 31,这条lululemon男士长裤剪裁非常修身，面料舒适透气，穿上后活动自如，特别适合运动时穿着，颜色也很显气质，非常满意，推荐！,0,
0002ae1eea6b43899e6119bc7cafbe22,a3d27769-4953-4b92-a3e2-01892f647446,10150645226197,lululemon丨Unisex Classic 男女同款经典运动帽 LU9BOTS 薰衣草霜紫/白 L/XL,2025-11-05 00:34:58,lululemon,Unisex Classic,男女同款经典运动帽 LU9BOTS 薰衣草霜紫/白 L/XL,lululemon丨Unisex Classic 男女同款经典运动帽 LU9BOTS 薰衣草霜紫/白 L/XL,这款lululemon Unisex Classic运动帽很舒服，透气性好，颜色清新，戴着很显气质，强烈推荐！,0,
00030bf77282422984940ead59b489d7,e2e59d28-96c9-4ec1-847c-4630eb28f789,10118283262938,lululemon丨beyondfeel waterproof 女士跑鞋 *防水款 LW9FSOS 黑/黑/白 38,2025-11-07 07:33:12,lululemon,beyondfeel waterproof,女士跑鞋 *防水款 LW9FSOS 黑/黑/白 38,lululemon丨beyondfeel waterproof 女士跑鞋 *防水款 LW9FSOS 黑/黑/白 38,这双lululemon beyondfeel防水跑鞋真的超棒！鞋面防水效果很好，下雨天也不怕湿，透气性也不错，穿着舒适，强烈推荐！,0,
0004593862934a4e827f17cb08692bb4,a423c488-9d8b-4fd2-b981-c196cab2d5bd,10134484777903,lululemon丨EasySet 男士训练长袖 T 恤 LM3FUFS 太阳灰 S,2025-11-03 14:38:13,lululemon,EasySet,男士训练长袖 T 恤 LM3FUFS 太阳灰 S,lululemon丨EasySet 男士训练长袖 T 恤 LM3FUFS 太阳灰 S,这件lululemon的EasySet长袖T恤质量太差了，洗一次就起球，面料还容易变形，完全不值这个价格！,0,
0004a35dd1604c569d497d23f77a70e4,cd27396f-37ae-4388-9f53-26cc9288ce91,10170842305259,lululemon丨Power Stride 中筒袜 LU9D57S 蒸汽灰/白 S,2025-11-03 15:28:53,lululemon,Power Stride,中筒袜 LU9D57S 蒸汽灰/白 S,lululemon丨Power Stride 中筒袜 LU9D57S 蒸汽灰/白 S,这双lululemon Power Stride袜子真的很好穿，透气舒适，支撑力强，跑步时脚感很稳，颜色也很高级，强烈推荐！,0,
0004eac329714e3baedb9025362e1ff8,8e8d9824-7b41-440f-877c-c7cd6cd80ecb,10046670111376,lululemon丨Align™ 女士运动超高腰紧身裤 26,2025-11-07 13:39:00,lululemon,Align™,女士运动超高腰紧身裤 26,lululemon丨Align™ 女士运动超高腰紧身裤 26,这款lululemon Align™紧身裤尺码偏大，腰部松垮，运动时容易滑落，完全不符合预期，性价比太低，不会再回购。,0,
